Level,Score,Attempts Used,Guess Accuracy

1,50,2,0.6
2,60,1,1.0
3,40,3,0.73
4,40,3,0.4
5,40,3,0.6
6,30,4,0.45
7,60,1,1.0
8,40,3,0.47
1,60,1,1.0
1,40,3,0.53
2,60,1,1.0
1,60,1,1.0
2,40,3,0.53
3,60,1,1.0
4,60,1,1.0
5,50,2,0.6
6,40,3,0.47
7,60,1,1.0
8,10,6,0.53
9,30,4,0.45
1,50,2,0.7
2,50,2,0.6
3,60,1,1.0
4,60,1,1.0
1,50,2,0.5
2,60,1,1.0
3,60,1,1.0
4,60,1,1.0
5,30,4,0.3
1,50,2,0.6
2,60,1,1.0
3,20,5,0.4
4,30,4,0.5
5,50,2,0.5
6,50,2,0.6
7,10,6,0.57
8,60,1,1.0
1,50,2,0.6
2,40,3,0.67
3,40,3,0.53
4,60,1,1.0
5,40,3,0.4
1,60,1,1.0
2,60,1,1.0
3,40,3,0.4
1,30,4,0.1
2,60,1,1.0
3,50,2,0.7
4,60,1,1.0
5,20,5,0.52
6,60,1,1.0
7,10,6,0.43
8,30,4,0.4
1,40,3,0.53
2,30,4,0.5
3,60,1,1.0
4,50,2,0.5
5,40,3,0.6
6,60,1,1.0
7,30,4,0.5
8,50,2,0.7
1,60,1,1.0
2,50,2,0.8
3,50,2,0.6
4,40,3,0.6
5,50,2,0.7
1,50,2,0.6
2,60,1,1.0
3,50,2,0.7
1,40,3,0.07
2,50,2,0.5
3,50,2,0.7
4,40,3,0.73
1,50,2,0.1
2,60,1,1.0
3,60,1,1.0
4,50,2,0.7
5,20,5,0.32
6,60,1,1.0
7,60,1,1.0
8,40,3,0.4
1,60,1,1.0
2,40,3,0.33
3,30,4,0.45
4,60,1,1.0
5,40,3,0.67
6,40,3,0.4
7,60,1,1.0
8,60,1,1.0
1,60,1,1.0
2,60,1,1.0
3,40,3,0.73
4,60,1,1.0
5,60,1,1.0
6,50,2,0.5
7,50,2,0.8
8,60,1,1.0
1,20,5,0.28
2,50,2,0.6
3,60,1,1.0
4,60,1,1.0
5,50,2,0.7
6,60,1,1.0
7,60,1,1.0
1,50,2,0.6
2,60,1,1.0
3,50,2,0.6
4,60,1,1.0
5,50,2,0.7
6,50,2,0.8
7,60,1,1.0
8,30,4,0.45
1,40,3,0.47
2,40,3,0.33
3,50,2,0.6
4,40,3,0.47
5,30,4,0.4
6,40,3,0.47
1,30,4,0.45
