Final Level,Total Score,Bombs Used,Magnifies Used
9,360,2,3
2,60,2,2
3,100,0,3
10,410,2,3
5,220,0,2
6,260,1,3
9,330,2,3
6,230,2,3
4,160,1,2
9,320,2,3
9,360,2,3
6,250,2,3
4,160,0,2
5,180,2,3
9,400,1,3
9,390,2,2
9,440,0,1
8,360,0,3
9,410,1,3
7,240,2,3
1,0,1,3
5,40,3,4
10,410,1,2
7,230,3,3
4,160,2,3
11,470,3,3
4,140,2,2
2,60,0,2
9,290,2,3
7,250,2,4
9,430,0,3
12,470,4,5
9,270,2,4
2,60,1,2
3,60,2,3
7,210,3,4
7,210,3,3
7,270,1,3
1,0,0,2
2,20,0,3
10,290,3,5
3,70,2,3
9,250,3,4
9,430,2,3
9,280,2,3
9,310,3,3
9,370,2,3
10,250,3,4
9,450,0,1
2,30,2,3
3,90,2,3
7,220,3,4
6,90,3,4
9,330,1,4
8,350,2,2
3,100,2,3
7,210,3,3
5,120,2,4
7,230,3,4
10,360,0,4
8,290,2,3
